train_step,method,seed,current_difficulty,target_difficulty_steps,eval_difficulty,eval_mode,eval_rap,mean_reward,std_reward,win_rate,threshold_hit,stage_steps,stage_index
2950000,curriculum,44,0,0,0,0,0.25,12.2,2.481934729198171,1.0,0,2950000,0
3000000,curriculum,44,0,0,0,0,0.25,14.4,3.006659275674582,1.0,0,3000000,0
3050000,curriculum,44,0,0,0,0,0.25,10.4,4.565084884205331,1.0,0,3050000,0
3100000,curriculum,44,0,0,0,0,0.25,12.0,3.0659419433511785,1.0,0,3100000,0
3150000,curriculum,44,0,0,0,0,0.25,14.0,3.924283374069717,1.0,0,3150000,0
3200000,curriculum,44,0,0,0,0,0.25,14.3,3.6345563690772495,1.0,0,3200000,0
3250000,curriculum,44,0,0,0,0,0.25,14.8,2.08806130178211,1.0,0,3250000,0
3300000,curriculum,44,0,0,0,0,0.25,12.9,3.5623026261113755,1.0,0,3300000,0
3350000,curriculum,44,0,0,0,0,0.25,12.8,3.0919249667480613,1.0,0,3350000,0
3400000,curriculum,44,0,0,0,0,0.25,10.9,3.1128764832546763,1.0,0,3400000,0
3450000,curriculum,44,0,0,0,0,0.25,16.3,1.8466185312619388,1.0,1,3450000,0
3500000,curriculum,44,0,0,0,0,0.25,13.1,7.063285354564122,0.9,0,3500000,0
3550000,curriculum,44,0,0,0,0,0.25,14.9,3.1448370387032774,1.0,0,3550000,0
3600000,curriculum,44,0,0,0,0,0.25,14.8,2.638181191654584,1.0,0,3600000,0
3650000,curriculum,44,0,0,0,0,0.25,14.4,3.9293765408777004,1.0,0,3650000,0
3700000,curriculum,44,0,0,0,0,0.25,16.0,2.6832815729997477,1.0,1,3700000,0
3750000,curriculum,44,0,0,0,0,0.25,14.0,2.7202941017470885,1.0,0,3750000,0
3800000,curriculum,44,0,0,0,0,0.25,15.0,2.8284271247461903,1.0,1,3800000,0
3850000,curriculum,44,0,0,0,0,0.25,16.3,2.0518284528683193,1.0,1,3850000,0
3900000,curriculum,44,1,0,1,0,0.25,8.2,3.249615361854384,1.0,0,50000,1
3950000,curriculum,44,1,0,1,0,0.25,9.0,5.531726674375733,0.9,0,100000,1
4000000,curriculum,44,1,0,1,0,0.25,14.6,4.199999999999999,1.0,0,150000,1
4050000,curriculum,44,1,0,1,0,0.25,7.6,7.144228439796701,0.8,0,200000,1
4100000,curriculum,44,1,0,1,0,0.25,14.7,2.9,1.0,0,250000,1
4150000,curriculum,44,1,0,1,0,0.25,13.3,2.8301943396169813,1.0,0,300000,1
4200000,curriculum,44,1,0,1,0,0.25,12.3,3.407345007480164,1.0,0,350000,1
4250000,curriculum,44,1,0,1,0,0.25,13.2,3.515679166249389,1.0,0,400000,1
4300000,curriculum,44,1,0,1,0,0.25,14.0,4.123105625617661,1.0,0,450000,1
4350000,curriculum,44,1,0,1,0,0.25,15.8,3.54400902933387,1.0,1,500000,1
4400000,curriculum,44,1,0,1,0,0.25,16.4,3.1048349392520045,1.0,1,550000,1
4450000,curriculum,44,1,0,1,0,0.25,18.5,1.746424919657298,1.0,1,600000,1
4500000,curriculum,44,1,0,1,0,0.25,13.7,4.050925820105819,1.0,0,650000,1
4550000,curriculum,44,1,0,1,0,0.25,16.4,3.006659275674582,1.0,1,700000,1
4600000,curriculum,44,1,0,1,0,0.25,16.1,1.6401219466856727,1.0,1,750000,1
4650000,curriculum,44,1,0,1,0,0.25,17.5,2.1563858652847827,1.0,1,800000,1
4700000,curriculum,44,1,0,1,0,0.25,12.5,3.3541019662496847,1.0,0,850000,1
4750000,curriculum,44,1,0,1,0,0.25,17.3,2.0024984394500787,1.0,1,900000,1
4800000,curriculum,44,1,0,1,0,0.25,15.8,2.993325909419153,1.0,1,950000,1
4850000,curriculum,44,1,0,1,0,0.25,16.0,2.04939015319192,1.0,1,1000000,1
4900000,curriculum,44,2,0,2,0,0.25,-12.9,6.090155991434045,0.0,0,50000,2
