train_step,method,seed,current_difficulty,target_difficulty_steps,eval_difficulty,eval_mode,eval_rap,mean_reward,std_reward,win_rate,threshold_hit,stage_steps,stage_index
400000,direct,44,3,50000,3,0,0.25,-21.0,0.0,0.0,0,400000,0
800000,direct,44,3,100000,3,0,0.25,-11.3,8.402975663418287,0.1,0,800000,0
1200000,direct,44,3,150000,3,0,0.25,-2.7,9.550392662084633,0.2,0,1200000,0
1600000,direct,44,3,200000,3,0,0.25,4.2,10.618851161966628,0.6,0,1600000,0
2000000,direct,44,3,250000,3,0,0.25,6.9,6.503076195155644,0.7,0,2000000,0
2400000,direct,44,3,300000,3,0,0.25,4.8,8.518215775618742,0.7,0,2400000,0
2800000,direct,44,3,350000,3,0,0.25,5.5,11.560709320798617,0.7,0,2800000,0
3200000,direct,44,3,400000,3,0,0.25,1.4,8.260750571225353,0.6,0,3200000,0
3600000,direct,44,3,450000,3,0,0.25,9.7,9.274157643689264,0.9,0,3600000,0
4000000,direct,44,3,500000,3,0,0.25,16.4,2.690724809414742,1.0,1,4000000,0
4400000,direct,44,3,550000,3,0,0.25,17.0,2.898275349237888,1.0,1,4400000,0
4800000,direct,44,3,600000,3,0,0.25,16.1,5.088221693283421,1.0,1,4800000,0
5200000,direct,44,3,650000,3,0,0.25,13.5,6.697014260101288,0.9,0,5200000,0
5600000,direct,44,3,700000,3,0,0.25,12.6,10.33634364753804,0.8,0,5600000,0
6000000,direct,44,3,750000,3,0,0.25,17.7,3.4073450074801643,1.0,1,6000000,0
6400000,direct,44,3,800000,3,0,0.25,16.7,2.4919871588754225,1.0,1,6400000,0
6800000,direct,44,3,850000,3,0,0.25,17.5,3.138470965295043,1.0,1,6800000,0
7200000,direct,44,3,900000,3,0,0.25,17.4,2.90516780926679,1.0,1,7200000,0
7600000,direct,44,3,950000,3,0,0.25,16.4,7.269112738154499,0.9,1,7600000,0
8000000,direct,44,3,1000000,3,0,0.25,14.5,3.5,1.0,0,8000000,0
8400000,direct,44,3,1050000,3,0,0.25,15.8,4.214261501141095,1.0,1,8400000,0
8800000,direct,44,3,1100000,3,0,0.25,17.0,4.516635916254486,1.0,1,8800000,0
9200000,direct,44,3,1150000,3,0,0.25,13.8,3.944616584663204,1.0,0,9200000,0
9600000,direct,44,3,1200000,3,0,0.25,16.2,1.9390719429665315,1.0,1,9600000,0
