,seed,seed,seed,auc_target_reward,auc_target_reward,auc_target_reward,time_to_threshold_total,time_to_threshold_total,time_to_threshold_total,time_to_threshold_target,time_to_threshold_target,time_to_threshold_target,final_target_reward,final_target_reward,final_target_reward,final_target_win_rate,final_target_win_rate,final_target_win_rate,jumpstart_target_reward,jumpstart_target_reward,jumpstart_target_reward
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,,,,,,,,,,,,,,,,,,,,,
curriculum,43.0,1.0,3,219338333.33333334,42002883.854365684,3,5850000.0,1050000.0,3,0.0,0.0,3,17.666666666666668,0.8326663997864536,3,1.0,0.0,3,-21.0,0.0,3
direct,43.0,1.0,3,46754166.666666664,3093219.735701511,3,4710026.666666667,3126111.5786442,3,266666.6666666667,225462.4876411447,3,17.400000000000002,0.26457513110645864,3,1.0,0.0,3,-8.466666666666667,21.70837012152993,3
