method,train_step,mean_reward,reward_std
curriculum,50000,-21.0,0.0
curriculum,100000,-21.0,0.0
curriculum,150000,-21.0,0.0
curriculum,200000,-20.8,0.40000000000000036
curriculum,250000,-20.95,0.10000000000000053
curriculum,300000,-21.0,0.0
curriculum,350000,-19.75,2.1189620100417086
curriculum,400000,-19.025,3.9499999999999997
curriculum,450000,-17.775,5.11753521401335
curriculum,500000,-16.6,4.758150901348128
curriculum,550000,-15.575,2.6017622233145485
curriculum,600000,-12.0,5.461989869391313
curriculum,650000,-13.524999999999999,5.78813441447242
curriculum,700000,-13.3,4.725815626252608
curriculum,750000,-12.475,3.3915335764223244
curriculum,800000,-10.125,5.8965385326195126
curriculum,850000,-9.6,5.961543424315552
curriculum,900000,-7.125,3.089093718228698
curriculum,950000,-8.7,6.406246951218787
curriculum,1000000,-4.275,0.722841614740048
curriculum,1050000,-0.4500000000000002,3.4034296427770228
curriculum,1100000,-4.05,0.8544003745317532
curriculum,1150000,-2.675,2.174664725116648
curriculum,1200000,0.5000000000000002,6.406246951218788
curriculum,1250000,-2.45,2.6095976701399777
curriculum,1300000,0.17499999999999982,3.4238136631539984
curriculum,1350000,1.85,3.771383477363888
curriculum,1400000,0.2749999999999999,2.458149710656371
curriculum,1450000,2.8499999999999996,7.991870869827665
curriculum,1500000,3.05,3.167017524422623
curriculum,1550000,5.4,5.062278801751901
curriculum,1600000,6.075,4.395736570814953
curriculum,1650000,6.35,4.249313670072694
curriculum,1700000,2.175,5.095995159600004
curriculum,1750000,9.3,5.801723881744115
curriculum,1800000,7.275,5.091414341811125
curriculum,1850000,8.275,6.932712311931024
curriculum,1900000,7.449999999999999,4.06078810084939
curriculum,1950000,9.175,4.189968178081228
curriculum,2000000,10.05,3.1796226191169286
curriculum,2050000,9.1,7.525955088890712
curriculum,2100000,10.125,4.386627406105971
curriculum,2150000,9.649999999999999,2.653927906581739
curriculum,2200000,7.9750000000000005,5.14287533065567
curriculum,2250000,7.325000000000001,4.016943282314718
curriculum,2300000,10.05,4.522904671410472
curriculum,2350000,8.1,7.999374975584031
curriculum,2400000,8.700000000000001,6.444377394287209
curriculum,2450000,10.266666666666666,5.936609582357032
curriculum,2500000,9.366666666666667,5.60029761113937
curriculum,2550000,10.6,4.430575583375145
curriculum,2600000,10.233333333333333,5.746593193652508
curriculum,2650000,9.266666666666666,5.774368652357878
curriculum,2700000,11.366666666666667,2.779088579612629
curriculum,2750000,12.0,1.7349351572897473
curriculum,2800000,10.266666666666666,4.903400180826906
curriculum,2850000,10.033333333333333,5.265295180076168
curriculum,2900000,12.1,2.9715315916207254
curriculum,2950000,9.966666666666667,2.4172987679087856
curriculum,3000000,11.566666666666668,4.650089604871431
curriculum,3050000,9.966666666666667,3.4703506066870724
curriculum,3100000,12.0,1.8000000000000007
curriculum,3150000,11.4,2.4637369989509836
curriculum,3200000,10.066666666666668,5.765703195043371
curriculum,3250000,10.966666666666669,5.392896562454479
curriculum,3300000,11.799999999999999,2.3515952032609695
curriculum,3350000,11.5,2.4269322199023198
curriculum,3400000,10.766666666666666,2.0033305601755624
curriculum,3450000,13.333333333333334,4.221768981521056
curriculum,3500000,13.066666666666668,0.5507570547286104
curriculum,3550000,13.666666666666666,3.707200201409864
curriculum,3600000,12.033333333333333,2.5106440076867402
curriculum,3650000,12.733333333333334,2.800595174839329
curriculum,3700000,13.466666666666667,3.87986254052039
curriculum,3750000,11.6,2.0880613017821106
curriculum,3800000,11.766666666666666,3.250128202599604
curriculum,3850000,13.1,3.477067730142742
curriculum,3900000,10.466666666666667,2.874601421646718
curriculum,3950000,10.366666666666667,4.123509831846329
curriculum,4000000,12.366666666666667,2.0744477176668807
curriculum,4050000,10.133333333333333,3.797806384392618
curriculum,4100000,12.166666666666666,3.636390151418482
curriculum,4150000,12.566666666666668,1.8147543451754933
curriculum,4200000,11.766666666666666,1.4742229591663991
curriculum,4250000,12.700000000000001,2.19317121994613
curriculum,4300000,11.033333333333333,2.7392213005402346
curriculum,4350000,13.866666666666667,3.0088757590391357
curriculum,4400000,13.333333333333334,3.324655370611114
curriculum,4450000,14.966666666666667,3.3246553706111155
curriculum,4500000,13.466666666666667,0.9712534856222315
curriculum,4550000,13.633333333333333,2.48260615751539
curriculum,4600000,14.366666666666667,2.343786110832927
curriculum,4650000,13.733333333333334,4.079624165696312
curriculum,4700000,11.533333333333333,3.1628046625318698
curriculum,4750000,14.766666666666666,3.4789845261704357
curriculum,4800000,14.1,1.513274595042156
curriculum,4850000,14.833333333333334,1.934769581457527
curriculum,4900000,5.233333333333333,15.818449144379905
curriculum,4950000,3.933333333333333,16.248487109061365
curriculum,5000000,3.066666666666667,12.804816802021548
curriculum,5050000,2.9333333333333336,15.704245710422812
curriculum,5100000,5.666666666666667,14.086281742650659
curriculum,5150000,4.433333333333334,16.920500386611895
curriculum,5200000,6.8,13.960300856356929
curriculum,5250000,7.533333333333334,11.935381574685133
curriculum,5300000,7.866666666666667,10.900152904126315
curriculum,5350000,10.6,7.59012516365837
curriculum,5400000,8.866666666666667,11.00923854466481
curriculum,5450000,7.5,13.828593565507665
curriculum,5500000,7.033333333333332,13.537478839626429
curriculum,5550000,9.766666666666666,8.637322115872102
curriculum,5600000,10.933333333333332,4.880915214724933
curriculum,5650000,9.166666666666668,8.210562303115015
curriculum,5700000,12.433333333333335,5.061949558552844
curriculum,5750000,10.533333333333333,9.090837878508962
curriculum,5800000,9.833333333333334,7.973915809270457
curriculum,5850000,10.666666666666666,9.617345441094093
curriculum,5900000,8.866666666666667,10.646282606305984
curriculum,5950000,11.200000000000001,9.550392662084631
curriculum,6000000,10.866666666666667,7.128347167003957
curriculum,6050000,10.233333333333333,11.599281586948965
curriculum,6100000,11.233333333333334,9.176782297370542
curriculum,6150000,14.4,6.010823570859488
curriculum,6200000,13.633333333333333,4.562163229580168
curriculum,6250000,14.433333333333332,4.6047077359299715
curriculum,6300000,13.833333333333334,5.762233363317849
curriculum,6350000,13.0,7.126710321038733
curriculum,6400000,11.1,7.884795495128584
curriculum,6450000,11.733333333333334,8.706510973595183
curriculum,6500000,12.299999999999999,7.016409338115901
curriculum,6550000,16.233333333333334,2.4193663082165413
curriculum,6600000,14.4,4.838388161361177
curriculum,6650000,13.066666666666668,4.956140971898734
curriculum,6700000,14.166666666666666,5.6871199506721615
curriculum,6750000,14.600000000000001,6.300000000000002
curriculum,6800000,10.700000000000001,11.606463716395272
curriculum,6850000,14.100000000000001,7.968061244744547
curriculum,6900000,14.366666666666665,5.081666393353003
